Fish #,Latitude,Longitude,Length,Recap Tag#,
456,65.3831,-147.3321,258,-,
457,65.3831,-147.3321,315,-,
458,65.3839,-147.3329,250,-,
459,65.3839,-147.3329,319,-,
460,65.3839,-147.3329,263,-,
461,65.3839,-147.3329,271,-,
462,65.3839,-147.3329,268,-,
463,65.3839,-147.3329,365,-,
464,65.3839,-147.3329,252,-,
465,65.3839,-147.3329,342,-,
466,65.3839,-147.3329,254,-,
467,65.3839,-147.3329,310,-,
468,65.3839,-147.3329,263,-,
469,65.3839,-147.3329,269,-,
470,65.3839,-147.3329,283,-,
471,65.3839,-147.3329,324,-,
472,65.3839,-147.3329,254,-,
473,65.3839,-147.3329,257,-,
474,65.3839,-147.3329,281,-,
475,65.3839,-147.3329,273,-,
476,65.3839,-147.3329,264,-,
477,65.3839,-147.3329,372,-,
478,65.3839,-147.3329,263,-,
479,65.3831,-147.3363,305,-,
480,65.3831,-147.3363,295,-,
481,65.3828,-147.3433,286,-,
482,65.3828,-147.3433,263,-,
483,65.3828,-147.3433,311,-,
484,65.3828,-147.3433,268,-,
485,65.3828,-147.3433,263,-,
486,65.3828,-147.3433,274,-,
487,65.3828,-147.3433,268,-,
488,65.3854,-147.3521,262,-,
489,65.3854,-147.3521,286,-,
490,65.3854,-147.3521,296,-,
491,65.3854,-147.3521,293,-,
492,65.3854,-147.3521,311,-,
493,65.3854,-147.3521,316,-,
494,65.3854,-147.3521,274,-,
495,65.3854,-147.3521,310,-,
496,65.3854,-147.3521,265,-,
497,65.3790,-147.3872,279,-,
498,65.3845,-147.3938,258,-,
499,65.3845,-147.3938,295,-,
500,65.3845,-147.3938,294,350,
501,65.3845,-147.3938,250,-,
502,65.3845,-147.3938,280,-,
503,65.3845,-147.3938,276,-,
504,65.3845,-147.3938,254,-,
505,65.3845,-147.3938,333,-,
506,65.3845,-147.3938,260,-,
507,65.3845,-147.3938,252,-,
508,65.3845,-147.3938,250,-,
509,65.3845,-147.3938,258,-,
510,65.3876,-147.3987,255,-,
511,65.3876,-147.3987,250,-,
512,65.3876,-147.3987,250,-,
513,65.3876,-147.3987,266,-,
514,65.3876,-147.3987,324,-,
515,65.3876,-147.3987,253,-,
516,65.3871,-147.4044,262,-,
517,65.3865,-147.4050,298,-,
518,65.3865,-147.4050,280,-,
519,65.3846,-147.4059,295,-,
520,65.3846,-147.4059,272,-,
521,65.3846,-147.4059,270,-,
522,65.3846,-147.4059,260,-,
523,65.3846,-147.4059,262,-,
524,65.3807,-147.4045,292,-,
525,65.3807,-147.4045,252,-,
526,65.3807,-147.4045,250,-,
527,65.3807,-147.4045,268,-,
528,65.3807,-147.4045,255,-,
529,65.3807,-147.4045,264,-,
530,65.3855,-147.3936,432,-,
531,65.3855,-147.3936,287,-,
532,65.3855,-147.3936,291,-,
533,65.3877,-147.4013,332,-,
534,65.3877,-147.4013,274,-,
535,65.3877,-147.4013,268,-,
536,65.3877,-147.4013,258,-,
537,65.3852,-147.4060,279,-,
538,65.3852,-147.4060,278,-,
539,65.3852,-147.4060,263,-,
540,65.3852,-147.4060,301,-,
541,65.3842,-147.4051,318,-,
542,65.3842,-147.4051,256,-,
543,65.3842,-147.4051,297,-,
544,65.3842,-147.4051,314,-,
545,65.3803,-147.4083,285,-,
546,65.3803,-147.4083,275,-,
547,65.3797,-147.4129,256,-,
548,65.3814,-147.4193,282,-,
549,65.3793,-147.4458,254,-,
550,65.3770,-147.4471,342,-,
551,65.3880,-147.3822,282,-,
552,65.3880,-147.3822,273,-,
553,65.3880,-147.3822,276,-,
554,65.3880,-147.3822,295,-,
555,65.3880,-147.3822,280,-,
556,65.3880,-147.3822,250,-,
557,65.3880,-147.3822,294,-,
558,65.3880,-147.3822,264,-,
559,65.3880,-147.3822,287,-,
560,65.3880,-147.3822,250,-,
561,65.3837,-147.3843,262,-,
562,65.3837,-147.3843,264,-,
563,65.3837,-147.3843,252,-,
564,65.3837,-147.3843,256,-,
